,multi_2,multi_3,multi_4,multi_5,multi_6
needer_bond,0.5052932806949609,0.49470671930503896,0.0,0.0,0.0
needer_illchild,0.5858888173089707,0.28689763719852274,0.0,0.0,0.12721354549250644
needer_illparent,0.6181885859024818,0.12122938377561324,0.17820674973774778,0.08237528058415729,0.0
needer_illspouse,0.0,0.0,0.2597746654804137,0.0,0.7402253345195862
needer_matdis,0.4105768153358521,0.0,0.589423184664148,0.0,0.0
needer_own,0.3483867598602514,0.3046151406437138,0.0940196655591678,0.08332223646417637,0.16965619747269053
taker_bond,0.7117904574403057,0.2882095425596944,0.0,0.0,0.0
taker_illchild,0.32807829640375086,0.41123229199928285,0.14490387001330604,0.07753593351680613,0.03824960806685407
taker_illparent,0.5283340698511412,0.12105101348946835,0.309018180123915,0.0,0.041596736535475416
taker_illspouse,0.6938548828121165,0.14889597168613977,0.036371004733842596,0.02021430475005051,0.10066383601785063
taker_matdis,1.0,0.0,0.0,0.0,0.0
taker_own,0.7159579190670745,0.1531930969104372,0.03465311245315941,0.015110025217915123,0.08108584635141376
